,cnLibCat,ecoCat
379,TN929.5,"[工程和技术研究与试验发展, 电信]"
380,TN915.08,"[工程和技术研究与试验发展, 电信]"
381,TN929.5,"[公共软件服务, 电信]"
382,TN915,"[工程和技术研究与试验发展, 电信]"
383,TP393.4,"[工程和技术研究与试验发展, 电信]"
384,TP393.4,"[公共软件服务, 电信]"
385,TN929.5,"[公共软件服务, 电信]"
386,"[TN929.11, T-652.1]","[工程和技术研究与试验发展, 电信]"
387,TP393.4,"[公共软件服务, 电信]"
388,TP319,"[公共软件服务, 电信]"
389,TN915,"[工程和技术研究与试验发展, 电信]"
390,"[TN929.5, TP393.1]","[工程和技术研究与试验发展, 电信]"
391,TN941.3,"[公共软件服务, 电信]"
392,TN929.5,"[通信设备制造, 电信]"
393,TN92,"[公共软件服务, 电信]"
394,"[TN915.05, TN929.5, TN943.2]","[广播电视设备制造, 电信]"
395,"[TN929.5, T-652.4]","[电信, 广播电视传输服务]"
396,TN915,"[工程和技术研究与试验发展, 电信]"
397,"[TN915.05, T-652.1]","[工程和技术研究与试验发展, 电信]"
398,TN929.5,"[工程和技术研究与试验发展, 电信]"
399,TN915.6,"[电信, 通信设备制造]"
400,TN915.6,电信
401,TN915.6,电信
402,"[TN925.3, TK018]",电信
403,"[F626, TN915.02]",电信
404,"[F626.115, F626.5]",电信
405,"[TN919.2, TN918.91]",电信
406,F623,电信
407,TN929.11,电信
408,"[TN915.07, TN929.5]",电信
409,F713.36,电信
410,TN914,电信
411,"[TN916.2, TN929.5, F626]",电信
412,TN915.6,电信
413,TN929.53,电信
414,F626.6,电信
415,"[TN929.5, TN915.07]",电信
416,TN929.53,电信
417,"[TN915.02, TN929.52]",电信
418,"[TN929.533, TN915.02]",电信
419,F626.5,电信
420,TN915.07,电信
421,TN929.5,电信
422,TP37,电信
423,"[TN929.11, TN915.63]",电信
424,"[TN911.73, TN915.07, F626.5]",电信
425,TN929.5,电信
426,"[TN929.5, TN876.32]",电信
427,"[TN929.5, TN915.07]",电信
428,"[TN915.05, TN915.6]",电信
429,"[TN915.853, TN914.33, TN929.11]",电信
430,TP37,电信
431,F626,电信
432,F626,电信
433,TN929.5,电信
434,TN949.27,电信
435,TN929.5,电信
436,F626,电信
437,"[TN915.5, TN929.53]",电信
438,"[TN916.2, T-652.2]",电信
439,F626,电信
440,TN929.53,电信
441,F626,电信
442,"[TN916.2, T-652.2]",电信
443,"[TN929.53, TN911.5]",电信
444,"[TN915.5, TN929.53]",电信
445,TP393.098,电信
446,TN929.54,电信
447,"[TN915.05, T-651]",电信
448,F626.5,电信
449,F626,电信
450,F626,电信
451,TN949.27,电信
452,TN929.5,电信
453,F626,电信
454,TN929.5,电信
455,"[TN915.6, T-652.4]",电信
456,"[F626, TP319]",电信
457,TN915.5,电信
458,"[TN915, T-651]",电信
459,"[TN915.06, T-652.4]",电信
460,"[TN915, T-651]",电信
461,"[TN915.06, T-652.4]",电信
462,"[F626, TP319]",电信
463,TN915.5,电信
464,F626.5,电信
465,"[TN911.21, T-652.4]",电信
466,F626,电信
467,TN929.1,电信
468,"[TN929.5, TN915.07]",电信
469,TN914,电信
470,TN929.5,"[电信, 通信设备制造]"
471,TN915.07,"[公共软件服务, 电信]"
472,TN919.3,"[电信, 通信设备制造]"
473,TN915.06,"[公共软件服务, 电信]"
474,TN929.11,"[电线、电缆、光缆及电工器材制造, 电信]"
475,TN915,"[工程和技术研究与试验发展, 电信]"
476,TN929.53,"[工程和技术研究与试验发展, 电信]"
477,TP393.11,"[电信, 互联网信息服务]"
478,TN915,"[工程和技术研究与试验发展, 电信]"
479,TN929.5,"[工程和技术研究与试验发展, 电信]"
480,TN929.53,"[工程和技术研究与试验发展, 电信]"
481,TN912.3,"[工程和技术研究与试验发展, 电信]"
482,TN929.5,"[工程和技术研究与试验发展, 电信]"
483,TN915,"[公共软件服务, 电信]"
484,TN929.5,"[电信, 通信设备制造]"
485,"[TP393.07, TP393.4]","[公共软件服务, 电信]"
486,TN934.2,"[电信, 广播电视传输服务]"
487,"[TP37, TP315]","[公共软件服务, 电信]"
488,TN915.6,"[通信设备制造, 电信]"
489,TP316,"[公共软件服务, 电信]"
490,TN915.08,"[公共软件服务, 电信]"
491,TN762,"[工程和技术研究与试验发展, 电信]"
492,"[TN929.533, TN919.85]","[公共软件服务, 电信]"
493,TN915.04,"[工程和技术研究与试验发展, 电信]"
494,"[TD655, TN929.5]","[公共软件服务, 电信]"
495,TN929.5,"[公共软件服务, 电信]"
496,"[TN919.6, F623]","[公共软件服务, 电信]"
497,TN941.3,"[电视, 电信]"
498,TN919.2,"[电子计算机制造, 电信]"
499,"[TN925.93, TN915.07]","[工程和技术研究与试验发展, 电信]"
500,TN762,"[工程和技术研究与试验发展, 电信]"
501,TP316,"[公共软件服务, 电信]"
502,TN915,"[公共软件服务, 电信]"
503,TN915.6,"[通信设备制造, 电信]"
504,"[TN915.02, TP393.03]","[工程和技术研究与试验发展, 电信]"
505,TN919.3,"[公共软件服务, 电信]"
506,TP319,"[公共软件服务, 电信]"
507,TN919.3,"[新闻业, 电信]"
508,TN915.07,"[电子计算机制造, 电信]"
509,TN929.5,"[电信, 通信设备制造]"
510,TN915,"[公共软件服务, 电信]"
511,TN929.53,"[工程和技术研究与试验发展, 电信]"
512,TP393.11,"[电信, 互联网信息服务]"
513,TN929.5,"[公共软件服务, 电信]"
514,TN929.5,"[电信, 公共软件服务]"
515,"[TP393.03, TN915.04]","[公共软件服务, 电信]"
516,TN929.5,"[工程和技术研究与试验发展, 电信]"
517,TN915.07,"[公共软件服务, 电信]"
518,TN915,"[工程和技术研究与试验发展, 电信]"
519,TN912.3,"[工程和技术研究与试验发展, 电信]"
520,TN919.3,"[电信, 通信设备制造]"
521,TN929.53,"[工程和技术研究与试验发展, 电信]"
522,TN915.06,"[公共软件服务, 电信]"
523,TN915.02,"[工程和技术研究与试验发展, 电信]"
524,TP393.02,"[电信, 公共软件服务]"
525,"[TN915.08, TN929.5]","[公共软件服务, 电信]"
526,TN929.5,"[电信, 公共软件服务]"
527,TN929.5,"[工程和技术研究与试验发展, 电信]"
528,"[TN929.53, TN919.85]","[公共软件服务, 电信]"
529,"[TP317.1, TN929.5]","[公共软件服务, 电信]"
530,TN915.5,"[工程和技术研究与试验发展, 电信]"
531,"[TN941.3, TN943.6]","[电信, 广播电视传输服务]"
532,"[TP319, TN941.3]","[公共软件服务, 电信]"
533,TN915.05,"[电信, 通信设备制造]"
534,TN941.3,"[电视, 电信]"
535,TN915,"[通信设备制造, 电信]"
536,R197.323,"[公共软件服务, 电信]"
537,"[TN929.5, T-652.1]",电信
538,TN919.85,电信
539,TN925.93,电信
540,TN915.07,电信
541,TN929.5,电信
542,"[TN925.93, TN915.04]",电信
543,TN929.5,电信
544,TN919.85,电信
545,TN915,电信
546,TN929.5,电信
547,"[TN929.5, T-652.1]",电信
548,TN949.292,电信
549,TN916.2,电信
550,TN915.04,电信
551,TN918,电信
552,TN929.533,电信
553,TN915,电信
554,TN929.5,电信
555,TN919.85,电信
556,TN915.07,电信
557,TN929.5,电信
558,TN949.292,电信
559,TN915.6,电信
560,G434,电信
561,TN929.11,电信
562,TP311.5,"[公共软件服务, 电信]"
563,"[TN929.5, TN919.5]","[工程和技术研究与试验发展, 电信]"
564,TN929.53,"[通信设备制造, 电信]"
565,"[TN929.53, TN915.02]","[工程和技术研究与试验发展, 电信]"
566,TN929.53,"[公共软件服务, 电信]"
567,"[TN915.04, TN915.07, TP393.03]","[电信, 公共软件服务]"
568,TP393.4,"[电信, 公共软件服务]"
569,TN929.5,"[电信, 公共软件服务]"
570,"[TN76, TN929.53]","[工程和技术研究与试验发展, 电信]"
571,TN929.53,"[公共软件服务, 电信]"
572,TN929.53,"[通信设备制造, 电信]"
573,"[TP319, TN925.3, TN929.5]","[公共软件服务, 电信]"
574,"[TP315, TN915.07, F626]","[工程和技术研究与试验发展, 电信]"
575,"[TP391.78, S126]","[电信, 农业服务业]"
576,"[TN929.5, D631.43]","[公共软件服务, 电信]"
577,TN915,"[工程和技术研究与试验发展, 电信]"
578,TP393.07,"[公共软件服务, 电信]"
579,TP319,"[公共软件服务, 电信]"
580,"[TN929.53, TN915.02]","[工程和技术研究与试验发展, 电信]"
581,F626.5,"[公共软件服务, 电信]"
582,"[TP319, F713.36]","[公共软件服务, 电信]"
583,TP319,"[公共软件服务, 电信]"
584,TP392,"[公共软件服务, 电信]"
585,TN929.53,"[通信设备制造, 电信]"
586,"[TN929.5, TN919.5]","[工程和技术研究与试验发展, 电信]"
587,"[TN929.5, TN919.85]","[公共软件服务, 电信]"
588,"[TP929.5, TN915]","[公共软件服务, 电信]"
589,TN915.07,"[公共软件服务, 电信]"
590,TN915.6,"[电信, 公共软件服务]"
591,"[TM63, TM73, TN929.11]","[通信设备制造, 电信]"
592,TP311.52,"[公共软件服务, 电信]"
593,TN915.07,"[工程和技术研究与试验发展, 电信]"
594,TN915.08,"[电信, 广播电视设备制造]"
595,TN925,"[公共软件服务, 电信]"
596,TP393.07,"[公共软件服务, 电信]"
597,TN915,"[社会人文科学研究与试验发展, 电信]"
598,"[TN393.07, TP368.5]","[公共软件服务, 电信]"
599,"[TN929.5, D631.43]","[公共软件服务, 电信]"
600,TN925.1,"[通信设备制造, 电信]"
601,TN919.3,"[工程和技术研究与试验发展, 电信]"
602,TP393.4,"[公共软件服务, 电信]"
603,TN929.5,"[公共软件服务, 电信]"
604,TN925.1,"[工程和技术研究与试验发展, 电信]"
605,TN915,"[工程和技术研究与试验发展, 电信]"
606,TN929.5,"[工程和技术研究与试验发展, 电信]"
607,S126,"[电信, 广播电视设备制造]"
608,TP334.7,"[工程和技术研究与试验发展, 电信]"
609,TP319,"[公共软件服务, 电信]"
610,TN915.05,"[电信, 通信设备制造]"
611,TP319,"[公共软件服务, 电信]"
612,TN913.6,"[工程和技术研究与试验发展, 电信]"
613,TP393.4,"[电信, 公共软件服务]"
614,"[TP393.1, F626.5]","[公共软件服务, 电信]"
615,"[TP334.23, TN929.53]","[公共软件服务, 电信]"
616,"[TN948.63, G432, TP393.2]","[公共软件服务, 电信]"
617,TP319,"[公共软件服务, 电信]"
618,TN915,"[电信, 公共软件服务]"
619,TN929.5,"[电信, 通信设备制造]"
620,TP311.52,"[公共软件服务, 电信]"
621,TN915.142,"[工程和技术研究与试验发展, 电信]"
622,"[TM63, TM73, TN929.11]","[通信设备制造, 电信]"
623,"[TP319, F713.36]","[公共软件服务, 电信]"
624,TN915.6,"[电信, 公共软件服务]"
625,TN929.533,"[工程和技术研究与试验发展, 电信]"
626,F626.5,"[公共软件服务, 电信]"
627,TN929.5,"[公共软件服务, 电信]"
628,TP319,"[公共软件服务, 电信]"
629,TN915.08,"[工程和技术研究与试验发展, 电信]"
630,"[TP319, TN925.3, TN929.5]","[公共软件服务, 电信]"
631,TN915,"[电信, 专用仪器仪表制造]"
632,"[TN929.53, TP306]","[公共软件服务, 电信]"
633,TP317.1,"[电信, 公共软件服务]"
634,"[TN929.53, TN876.32]","[工程和技术研究与试验发展, 电信]"
635,TN929.53,"[工程和技术研究与试验发展, 电信]"
636,"[TP393.07, TP393.1]","[公共软件服务, 电信]"
637,TN929.5,"[工程和技术研究与试验发展, 电信]"
638,TP393.4,"[公共软件服务, 电信]"
639,TN925.1,"[工程和技术研究与试验发展, 电信]"
640,TN929.5,"[工程和技术研究与试验发展, 电信]"
641,"[TP391.78, S126]","[电信, 农业服务业]"
642,"[TP319, TN925.3, TN929.5]","[公共软件服务, 电信]"
643,TN929.53,"[公共软件服务, 电信]"
644,"[TN915.04, TN915.07, TP393.03]","[电信, 公共软件服务]"
645,"[TN915.05, TN915.07]","[公共软件服务, 电信]"
646,TN929.5,"[公共软件服务, 电信]"
647,TN929.53,"[公共软件服务, 电信]"
648,"[TN929.5, TN915.02]","[公共软件服务, 电信]"
649,TN915.6,"[电信, 通信设备制造]"
650,TN929.53,"[电信, 通信设备制造]"
651,"[TN915.04, TN915.08]","[公共软件服务, 电信]"
652,TP317.1,"[公共软件服务, 电信]"
653,TN929.53,"[通信设备制造, 电信]"
654,TN929.53,"[通信设备制造, 电信]"
