,cnLibCat,ecoCat
233,"[G449, B841.7]",基础研究
234,"[G449.5, B848.2]",基础研究
235,B846,基础研究
236,"[B849, F270.7]",基础研究
237,B812.3,基础研究
238,B841.4,基础研究
239,B848,基础研究
240,B841.4,基础研究
241,B841.4,基础研究
242,B0-0,基础研究
243,"[B841.7, R749]",基础研究
244,B845.63,基础研究
245,B844.1,基础研究
246,B844.1,基础研究
247,B834,基础研究
248,B841.4,基础研究
249,"[B845.1, R741.0]",基础研究
250,B841.4,基础研究
251,"[B841.7, TP274]",应用技术
252,B841.7,基础研究
253,B841.4,基础研究
254,B841.4,基础研究
255,B841.4,基础研究
256,B844.1,基础研究
257,B968,基础研究
258,"[Q424, B845]",基础研究
259,"[B812, TP399]",应用技术
260,B812.3,基础研究
261,B016,基础研究
262,"[B841.7, TP274]",应用技术
263,B992.2,基础研究
264,B0-0,基础研究
265,"[TG146.21, B470]",应用技术
266,C819,工程和技术研究与试验发展
267,C916,工程和技术研究与试验发展
268,C93-03,社会人文科学研究与试验发展
269,C913.3,咨询与调查
270,C975,其他教育
271,C913.3,咨询与调查
272,"[C916, TP316]",公共软件服务
273,C975,其他教育
274,C913.3,咨询与调查
275,C913.3,咨询与调查
276,C975,其他教育
277,C931.4,社会人文科学研究与试验发展
278,C913.31,咨询与调查
279,C931.4,社会人文科学研究与试验发展
280,C975,其他教育
281,C913.6,提供住宿的社会福利
282,C975,其他教育
283,C961,社会人文科学研究与试验发展
284,C975,其他教育
285,C913.9,社会人文科学研究与试验发展
286,"[TP393.02, C931.6]",社会人文科学研究与试验发展
287,C81,社会人文科学研究与试验发展
288,C931.6,提供住宿的社会福利
289,C913.6,提供住宿的社会福利
290,C913.6,提供住宿的社会福利
291,C913.6,提供住宿的社会福利
292,C975,其他教育
293,"[F272.9, C931]",社会人文科学研究与试验发展
294,C913.6,提供住宿的社会福利
295,"[C931.6, TP315]",公共软件服务
296,C961,社会人文科学研究与试验发展
297,C975,其他教育
298,C913.11,咨询与调查
299,C961,社会人文科学研究与试验发展
300,C934,"[社会人文科学研究与试验发展, 公共软件服务]"
301,C913.6,提供住宿的社会福利
302,"[TP311.52, C915]",公共软件服务
303,"[TP319, C931.6]",公共软件服务
304,C961,社会人文科学研究与试验发展
305,"[R289, C961]",医学研究与试验发展
306,C913.6,提供住宿的社会福利
307,C961,社会人文科学研究与试验发展
308,C961,社会人文科学研究与试验发展
309,C975,其他教育
310,C93,社会人文科学研究与试验发展
311,C913.6,提供住宿的社会福利
312,C913.3,咨询与调查
313,C975,其他教育
314,C916,社会人文科学研究与试验发展
315,C975,其他教育
316,C913.6,提供住宿的社会福利
317,C975,其他教育
318,C913.6,提供住宿的社会福利
319,C961,职业中介服务
320,C975,其他教育
321,"[TP391, C921]","[公共软件服务, 国家行政机构]"
322,C913.69,社会人文科学研究与试验发展
323,C961,社会人文科学研究与试验发展
324,C913.6,提供住宿的社会福利
325,C975,其他教育
326,C924.25,社会人文科学研究与试验发展
327,C913.6,提供住宿的社会福利
328,C961,社会人文科学研究与试验发展
329,C913.9,咨询与调查
330,C962,社会人文科学研究与试验发展
331,C961,社会人文科学研究与试验发展
332,C961,职业中介服务
333,C913.2,咨询与调查
334,C913.6,提供住宿的社会福利
335,C913.69,咨询与调查
336,C913.6,提供住宿的社会福利
337,C961,社会人文科学研究与试验发展
338,C931.4,其他商务服务
339,C961,社会人文科学研究与试验发展
340,"[R749.91, C913.5]","[医院, 提供住宿的社会福利]"
341,C913.3,社会人文科学研究与试验发展
342,C961,基础研究
343,C924.23,社会人文科学研究与试验发展
344,C961,社会人文科学研究与试验发展
345,"[TP319, C975]","[其他软件服务, 社会人文科学研究与试验发展]"
346,C916,社会人文科学研究与试验发展
347,C961,"[社会人文科学研究与试验发展, 其他教育]"
348,C961,基础研究
349,C975,社会人文科学研究与试验发展
350,C961,社会人文科学研究与试验发展
351,C924.23,社会人文科学研究与试验发展
352,"[TP319, C975]","[其他软件服务, 社会人文科学研究与试验发展]"
353,C913.3,社会人文科学研究与试验发展
354,C962,社会人文科学研究与试验发展
355,C913.3,社会人文科学研究与试验发展
356,C913.3,社会人文科学研究与试验发展
357,C819,公共软件服务
358,C931.4,公共软件服务
359,"[C816, C832.42, G237.6]","[社会人文科学研究与试验发展, 出版业]"
360,C924.25,社会人文科学研究与试验发展
361,C913,社会人文科学研究与试验发展
362,C916,社会人文科学研究与试验发展
363,C91,基础研究
364,C916,提供住宿的社会福利
365,C81,社会人文科学研究与试验发展
366,C81,社会人文科学研究与试验发展
367,C975,"[公共软件服务, 其他教育]"
368,C93,社会人文科学研究与试验发展
369,C916,基础研究
370,"[C816, TP393.093, TP311.52]",公共软件服务
371,C916,社会人文科学研究与试验发展
372,C961,基础研究
373,C961,社会人文科学研究与试验发展
374,C913.9,"[提供住宿的社会福利, 社会人文科学研究与试验发展]"
375,C924.2,社会人文科学研究与试验发展
376,C975,其他教育
377,"[C92, TP319]",公共软件服务
378,"[F294, C93]",社会人文科学研究与试验发展
379,C913.3,社会人文科学研究与试验发展
380,"[TD534, C975]",专用仪器仪表制造
381,C961,社会人文科学研究与试验发展
382,C912.2,社会人文科学研究与试验发展
383,C93,社会人文科学研究与试验发展
384,C91,社会人文科学研究与试验发展
385,C913,工程和技术研究与试验发展
386,C92,社会人文科学研究与试验发展
387,"[F294, C93]",社会人文科学研究与试验发展
388,"[C92, TP319]",公共软件服务
389,C93,工程和技术研究与试验发展
390,"[R197.62, C961]",社会人文科学研究与试验发展
391,"[G41, C961]",高等教育
392,"[C975, C961]",其他教育
393,C961,社会人文科学研究与试验发展
394,C961,社会人文科学研究与试验发展
395,C913.68,疾病预防控制及防疫活动
396,"[TK018, C962]",社会人文科学研究与试验发展
397,C81,社会人文科学研究与试验发展
398,"[C92, TP319]",公共软件服务
399,"[TP75, C812]","[公共软件服务, 测绘服务]"
400,"[C819, TP319]",公共软件服务
401,"[C975, G725]",社会人文科学研究与试验发展
402,C931.6,社会人文科学研究与试验发展
403,C961,社会人文科学研究与试验发展
404,C961,公共软件服务
405,C962,社会人文科学研究与试验发展
406,"[C975, TP182]",公共软件服务
407,C913.5,"[医学研究与试验发展, 疾病预防控制及防疫活动]"
408,C913.68,社会人文科学研究与试验发展
409,C913.5,医学研究与试验发展
410,C93,工程和技术研究与试验发展
411,C975,专用仪器仪表制造
412,C913,工程和技术研究与试验发展
413,"[R197.62, C961]",社会人文科学研究与试验发展
414,C962,社会人文科学研究与试验发展
415,C975,专用仪器仪表制造
416,C913.3,社会人文科学研究与试验发展
417,"[R155.5, C913.4]",其它科技服务
418,"[TP311.5, TP391.41, C912.81]",公共软件服务
419,"[C812, F426.9]",社会人文科学研究与试验发展
420,C934,社会人文科学研究与试验发展
